# Vectors from fieldwork landmarks (bone surface) to opensim landmarks (skin surface) 
pelvis-RHJC  0.0 0.0 0.0
pelvis-LASIS  6.892792314 31.592028891 -7.130806393
pelvis-LHJC  0.0 0.0 0.0
pelvis-RASIS  5.090013376 33.440343256  6.127997043
pelvis-Sacral  4.019059967 -25.164011992  1.653195443
femur-HC-l  0.0 0.0 0.0
femur-LEC-l  3.232803117 -5.007930378 -13.588720430
femur-MEC-l -13.340729998  2.710224587 12.113033667
femur-LEC-r -5.868278399 -3.300876420 15.114761615
femur-MEC-r -11.866863976  2.671489121 -13.466245991
femur-HC-r  0.0 0.0 0.0
tibiafibula-LM-l  3.474886928 15.422630904 -12.294714216
tibiafibula-MM-l  1.223071183 22.169948003  3.580903327
tibiafibula-KJC-l 0.0 0.0 0.0
tibiafibula-MM-r  0.284333087 22.584617793 -3.636864449
tibiafibula-LM-r  2.892348306 11.853358394 11.856882942
tibiafibula-KJC-r 0.0 0.0 0.0
